beach_name,date,culture_sample_1_timestamp,culture_sample_1_reading,culture_sample_2_timestamp,culture_sample_2_reading,culture_reading_mean,culture_sample_interval,culture_note,dna_sample_timestamp,dna_sample_1_reading,dna_sample_2_reading,dna_reading_mean,dna_test_id,latitude,longitude,year
Ohio Street,2016-08-27,,,,,,,,2016-08-27 13:01:00,65.0,9.0,24.2,2127,41.8935,-87.6152,2016
Calumet,2016-09-04,,,,,,,,2016-09-04 12:34:00,14.0,52.0,27.0,2265,41.7142,-87.5299,2016
Humboldt,2017-05-26,,,,,,,,2017-05-26 12:30:00,164.0,3.0,22.2,2292,41.90643,-87.703717,2017
Calumet,2017-05-28,,,,,,,,2017-05-28 12:08:00,137.0,9.0,35.1,2327,41.7142,-87.5299,2017
Ohio Street,2016-07-31,,,,,,,,2016-07-31 12:18:00,72.0,92.0,81.4,1552,41.8935,-87.6152,2016
Howard,2017-05-28,,,,,,,,2017-05-28 00:00:00,523.0,326.0,412.9,2353,42.0188,-87.6663,2017
63rd Street,2016-06-26,,,,,,,,2016-06-26 12:38:00,163.0,1009.0,405.5,984,41.7827,-87.5748,2016
Rainbow,2016-08-27,,,,,,,,2016-08-27 13:01:00,81.0,203.0,128.2,2113,41.758,-87.551,2016
South Shore,2016-06-12,,,,,,,,2016-06-12 12:53:00,430.0,210.0,300.5,671,41.7689,-87.5636,2016
North Avenue,2016-08-21,,,,,,,,2016-08-21 12:44:00,44.0,37.0,40.3,2026,41.9148,-87.6273,2016
Calumet,2017-05-26,,,,,,,,2017-05-26 12:25:00,56.0,29.0,40.3,2286,41.7142,-87.5299,2017
Leone,2017-05-30,,,,,,,,2017-05-30 00:00:00,4.0,51.0,14.3,2374,42.0131,-87.6635,2017
Hartigan (Albion),2017-05-28,,,,,,,,2017-05-28 00:00:00,159.0,11.0,41.8,2333,42.0027,-87.6564,2017
North Avenue,2016-07-03,,,,,,,,2016-07-03 12:18:00,42.0,30.0,35.5,1082,41.9148,-87.6273,2016
Foster,2017-05-27,,,,,,,,2017-05-27 00:00:00,70.0,57.0,63.2,2303,41.9785,-87.6515,2017
South Shore,2016-07-17,,,,,,,,2016-07-17 14:27:00,404.0,657.0,515.2,1303,41.7689,-87.5636,2016
Rainbow,2016-08-14,,,,,,,,2016-08-14 13:08:00,541.0,156.0,290.5,1847,41.758,-87.551,2016
Rogers,2017-05-30,,,,,,,,2017-05-30 00:00:00,18.0,10.0,13.4,2412,42.0213,-87.6666,2017
Humboldt,2016-08-07,,,,,,,,2016-08-07 12:59:00,549.0,1330.0,854.5,1633,41.90643,-87.703717,2016
Calumet,2016-06-18,,,,,,,,2016-06-18 12:57:00,741.0,266.0,444.0,821,41.7142,-87.5299,2016
63rd Street,2016-06-18,,,,,,,,2016-06-18 12:59:00,143.0,155.0,148.9,824,41.7827,-87.5748,2016
Calumet,2017-05-27,,,,,,,,2017-05-27 12:24:00,88.0,240.0,145.3,2311,41.7142,-87.5299,2017
63rd Street,2016-06-05,,,,,,,,2016-06-05 12:47:00,169.0,976.0,406.1,612,41.7827,-87.5748,2016
Foster,2017-05-29,,,,,,,,2017-05-29 12:17:00,142.0,19.0,51.9,2360,41.9785,-87.6515,2017
Rainbow,2016-08-25,,,,,,,,2016-08-25 13:01:00,16.0,5.0,8.9,2055,41.758,-87.551,2016
57th Street,2017-05-29,,,,,,,,2017-05-29 12:17:00,169.0,16.0,52.0,2338,41.7911,-87.5797,2017
