DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,Margaret T Burroughs,,,,89106,06/09/2010 12:00:00 AM,29.2,14.8,20.8,,,,,,
,,NA,,,,105618,07/02/2013 12:00:00 AM,1.0,1.0,1.0,,,,,,
,,Margaret T Burroughs,,,,105197,06/04/2012 12:00:00 AM,20.1,21.3,20.7,,,,,,
,,Margaret T Burroughs,,,,108437,09/03/2015 12:00:00 AM,152.0,26.0,62.9,,,,,,
609,06/05/2016 12:45:00 PM,Margaret T Burroughs,105.0,7.0,27.1,,,,,,,,,,,
,,Marion Mahony Griffin,,,,91796,07/09/2009 12:00:00 AM,20.3,9.6,14.0,,,,,,
,,Columbia,,,,102200,06/16/2009 12:00:00 AM,248.9,410.6,319.7,,,,,,
,,Hartigan,,,,101032,08/20/2007 12:00:00 AM,365.4,344.8,355.0,,,,,,
,,Columbia,,,,98807,07/24/2007 12:00:00 AM,48.7,44.8,46.7,,,,,,
,,Hartigan,,,,95886,07/31/2015 12:00:00 AM,613.0,579.0,595.8,,,,,,
,,Margaret T Burroughs,,,,92932,08/12/2014 12:00:00 AM,461.0,126.0,241.0,,,,,,
,,Marion Mahony Griffin,,,,97464,08/29/2011 12:00:00 AM,35.0,53.7,43.4,,,,,,
,,Marion Mahony Griffin,,,,103298,07/28/2006 12:00:00 AM,8.6,12.0,10.2,,,,,,
,,Hartigan,,,,91746,07/07/2009 12:00:00 AM,20.9,9.5,14.1,,,,,,
,,Hartigan,,,,103490,06/29/2007 12:00:00 AM,980.4,866.4,921.6,,,,,,
,,Marion Mahony Griffin,,,,112298,06/13/2014 12:00:00 AM,4.0,10.0,6.3,,,,,,
,,Hartigan,,,,98658,06/13/2007 12:00:00 AM,49.6,36.8,42.7,,,,,,
,,Hartigan,,,,88416,07/23/2010 12:00:00 AM,1.0,3.0,1.7,,,,,,
1070,07/02/2016 01:05:00 PM,Rainbow,18.0,39.0,26.5,,,,,,,,,41.758,-87.551,"(41.758, -87.551)"
,,Hartigan,,,,99687,05/30/2008 12:00:00 AM,13.5,25.9,18.7,,,,,,
,,Marion Mahony Griffin,,,,89926,08/26/2010 12:00:00 AM,14.5,113.7,40.6,,,,,,
,,Marion Mahony Griffin,,,,92988,08/14/2014 12:00:00 AM,36.0,43.0,39.3,,,,,,
,,Marion Mahony Griffin,,,,109521,06/17/2015 12:00:00 AM,249.0,173.0,207.5,,,,,,
,,Columbia,,,,98305,06/13/2007 12:00:00 AM,57.3,52.8,55.0,,,,,,
,,Margaret T Burroughs,,,,95789,09/02/2015 12:00:00 AM,1.0,15.0,3.9,,,,,,
,,Columbia,,,,98010,08/10/2006 12:00:00 AM,154.1,123.6,138.0,,,,,,
,,Columbia,,,,92122,08/27/2009 12:00:00 AM,167.4,14.5,49.3,,,,,,
782,06/16/2016 12:01:00 PM,Margaret T Burroughs,129.0,74.0,97.7,112933,06/16/2016 06:28:00 AM,11.0,9.0,9.9,,2,06/16/2016 06:30:00 AM,,,
,,Marion Mahony Griffin,,,,95888,07/31/2015 12:00:00 AM,1.0,2.0,1.4,,,,,,
,,Margaret T Burroughs,,,,108241,05/22/2014 12:00:00 AM,12.0,13.0,12.5,,,,,,
,,Marion Mahony Griffin,,,,91428,06/23/2009 12:00:00 AM,7.5,4.1,5.5,,,,,,
,,Margaret T Burroughs,,,,99951,06/06/2008 12:00:00 AM,38.4,27.5,32.5,,,,,,
2053,08/25/2016 01:00:00 PM,Margaret T Burroughs,221.0,360.0,282.1,,,,,,,,,,,
,,Hartigan,,,,105000,06/20/2013 12:00:00 AM,13.0,15.0,14.0,,,,,,
,,Marion Mahony Griffin,,,,110488,07/09/2013 12:00:00 AM,17.0,12.0,14.3,,,,,,
,,Margaret T Burroughs,,,,108744,07/17/2012 12:00:00 AM,75.4,20.3,39.1,,,,,,
,,Hartigan,,,,88556,07/30/2010 12:00:00 AM,17.3,25.4,21.0,,,,,,
,,Columbia,,,,100555,07/29/2008 12:00:00 AM,71.2,44.1,56.0,,,,,,
,,Margaret T Burroughs,,,,100899,08/04/2008 12:00:00 AM,365.4,290.9,326.0,,,,,,
,,Margaret T Burroughs,,,,108306,06/06/2014 12:00:00 AM,21.0,18.0,19.4,,,,,,
,,Margaret T Burroughs,,,,102016,07/03/2008 12:00:00 AM,2419.6,2419.6,2419.6,,,,,,
,,Margaret T Burroughs,,,,97269,06/11/2013 12:00:00 AM,21.0,45.0,30.7,,,,,,
,,Hartigan,,,,110508,07/10/2013 12:00:00 AM,21.0,10.0,14.5,,,,,,
,,Marion Mahony Griffin,,,,92239,09/01/2009 12:00:00 AM,13.2,9.7,11.3,,,,,,
,,Marion Mahony Griffin,,,,91339,07/29/2009 12:00:00 AM,46.4,59.1,52.4,,,,,,
,,Margaret T Burroughs,,,,104409,08/04/2006 12:00:00 AM,96.0,113.7,104.5,,,,,,
,,Marion Mahony Griffin,,,,96945,08/22/2011 12:00:00 AM,3.1,4.1,3.6,,,,,,
,,Marion Mahony Griffin,,,,93606,08/27/2014 12:00:00 AM,10.0,9.0,9.5,,,,,,
,,Hartigan,,,,88902,07/08/2010 12:00:00 AM,117.8,86.0,100.7,,,,,,
,,Margaret T Burroughs,,,,102140,08/19/2008 12:00:00 AM,60.2,95.9,76.0,,,,,,
,,Margaret T Burroughs,,,,88180,06/02/2010 12:00:00 AM,62.0,32.3,44.8,,,,,,
,,Hartigan,,,,97031,08/26/2011 12:00:00 AM,5.2,8.5,6.6,,,,,,
,,Margaret T Burroughs,,,,101721,08/30/2007 12:00:00 AM,261.3,248.1,254.6,,,,,,
